trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.99, 'e': 0.3212010745647914}",20,3,-17.95394903371957,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.99, 'e': 0.3179890638191435}",25,0,26.295120071503106,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.99, 'e': 0.31480917318095203}",30,9,-15.310973017838437,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
116,False,"{'a': 0.99, 'e': 0.3116610814491425}",20,9,4.942727580796336,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.99, 'e': 0.30854447063465107}",30,6,9.133657404368439,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.99, 'e': 0.3054590259283046}",25,9,12.128210881339326,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.99, 'e': 0.30240443566902153}",20,13,5.743150540057307,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.99, 'e': 0.2993803913123313}",25,15,-0.3388583807701817,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.99, 'e': 0.296386587399208}",25,5,-20.368827168311903,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.99, 'e': 0.2934227215252159}",30,2,23.229858884231497,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.99, 'e': 0.29048849430996376}",30,0,-64.65168402658907,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
124,False,"{'a': 0.99, 'e': 0.2875836093668641}",25,0,11.360197950011024,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.99, 'e': 0.28470777327319546}",30,23,9.454743360211436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.99, 'e': 0.2818606955404635}",25,17,14.714498627627757,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.99, 'e': 0.27904208858505886}",30,22,13.414546835332803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.99, 'e': 0.2762516676992083}",20,0,-46.205614843351746,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
129,False,"{'a': 0.99, 'e': 0.2734891510222162}",20,0,9.321746920425534,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.99, 'e': 0.27075425951199406}",20,9,19.179165947565476,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.2680467169168741}",25,0,-44.05404897806201,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
132,False,"{'a': 0.99, 'e': 0.26536624974770534}",25,15,10.089383022653791,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.99, 'e': 0.2627125872502283}",20,8,21.427564405221332,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.99, 'e': 0.26008546137772603}",25,6,-27.39224520490769,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 0}",1
135,False,"{'a': 0.99, 'e': 0.25748460676394874}",20,10,19.429104744736282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.99, 'e': 0.2549097606963093}",30,15,15.880800540031817,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.99, 'e': 0.2523606630893462}",25,12,-16.17163495842804,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.99, 'e': 0.2498370564584527}",20,6,-10.001543614947026,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.99, 'e': 0.24733868589386818}",20,3,-30.418766010458675,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.99, 'e': 0.24486529903492948}",20,0,-0.04858375174919516,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
141,False,"{'a': 0.99, 'e': 0.2424166460445802}",20,9,1.7218675895511468,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.99, 'e': 0.2399924795841344}",20,9,-6.9100517827773835,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.99, 'e': 0.23759255478829303}",20,14,10.24371416124215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.23521662924041012}",20,7,22.042766611291846,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.99, 'e': 0.232864462948006}",20,0,-3.908934522758702,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
146,False,"{'a': 0.99, 'e': 0.23053581831852593}",25,8,19.6193650976855,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.99, 'e': 0.22823046013534068}",25,14,-25.944606934003527,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.99, 'e': 0.22594815553398728}",25,18,1.6094447118015862,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.99, 'e': 0.2236886739786474}",25,7,-45.44502858336882,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
150,False,"{'a': 0.99, 'e': 0.22145178723886091}",30,21,3.700845408036489,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.99, 'e': 0.2192372693664723}",25,19,-11.107557397355714,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.99, 'e': 0.21704489667280757}",30,18,24.292953794393945,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.99, 'e': 0.2148744477060795}",20,12,14.011277389990397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.99, 'e': 0.2127257032290187}",25,1,-29.292911730886512,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
155,False,"{'a': 0.99, 'e': 0.21059844619672852}",30,16,4.217278231682027,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.99, 'e': 0.20849246173476124}",20,9,-40.733959486820595,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.99, 'e': 0.2064075371174136}",20,16,7.957510059059646,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
